全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
202053,BB2020530011,長野県飯田市,旧山本中学校杵原校舎管理教室棟,キュウヤマモトチュウガッコウキネハラコウシャカンリキョウシツトウ,,,登録有形文化財,,,202053,61000,長野県飯田市竹佐377-1,長野県,飯田市,竹佐,377-1,,35.467683,137.766381,,,,,,,,3950242,1,棟,2000020202053 ,飯田市,2005-12-26,,,,,,,昭和24年（1949）に建てられた木造平屋建、切妻造、桟瓦葺の建物で、当時の地方における学校校舎の姿をよくとどめている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530012,長野県飯田市,旧山本中学校杵原校舎教室棟　　　　　,キュウヤマモトチュウガッコウキネハラコウシャキョウシツトウ,,,登録有形文化財,,,202053,61000,長野県飯田市竹佐377-1,長野県,飯田市,竹佐,377-1,,35.467683,137.766381,,,,,,,,3950242,1,棟,2000020202053 ,飯田市,2005-12-26,,,,,,,昭和24年（1949）に建てられた木造平屋建、切妻造、桟瓦葺の建物で、当時の地方における学校校舎の姿をよくとどめている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530013,長野県飯田市,旧飯田測候所庁舎,キュウイイダソッコウジョチョウシャ,,,登録有形文化財,,,202053,99003,長野県飯田市馬場町三丁目441-1,長野県,飯田市,馬場町３丁目,441-1,,35.513516,137.833959,,,,,,,,3950027,1,棟,2000020202053 ,飯田市,2012-08-13,,,,,,,大正11年（1922）に建てられた木造平屋建の擬洋風建築で、19世紀末にヨーロッパで流行した新様式を取り入れている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530014,長野県飯田市,下伊那教育会館,シモイナキョウイクカイカン,,,登録有形文化財,,下伊那教育会館,202053,83000,長野県飯田市仲ノ町303-1,長野県,飯田市,仲ノ町,303-1,,35.516223,137.830003,,,,,,,,3950021,1,棟,,,2014-10-07,,,,,,,昭和13年（1938）に建てられた木造2階建の洋風建築。正面屋根中央にマンサードの破風、左右にドーマー窓を配している。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530015,長野県飯田市,下伊那教育会土蔵,シモイナキョウイクカイドゾウ,,,登録有形文化財,,,202053,83000,長野県飯田市仲ノ町303-1,長野県,飯田市,仲ノ町,303-1,,35.51628,137.830152,,,,,,,,3950021,1,棟,,,2014-10-07,,,,,,,昭和13年（1938）に建てられた、切妻造、2階建の土蔵。桁行3間、梁間2間半とし、正面に下屋を設けている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530016,長野県飯田市,下伊那教育会旧黒須家土蔵,シモイナキョウイクカイキュウクロスケドゾウ,,,登録有形文化財,,,202053,83000,長野県飯田市仲ノ町358-3,長野県,飯田市,仲ノ町,358-3,,35.515949,137.830029,,,,,,,,3950021,1,棟,,,2014-10-07,,,,,,,土蔵造2階建で置屋根式の桟瓦葺である。武家屋敷の街並みを感じることができる。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530017,長野県飯田市,下伊那教育会旧黒須家門,シモイナキョウイクカイキュウクロスケモン,,,登録有形文化財,,,202053,83000,長野県飯田市仲ノ町358-3,長野県,飯田市,仲ノ町,358-3,,35.515993,137.829939,,,,,,,,3950021,1,棟,,,2014-10-07,,,,,,,間口2.4ｍの薬医門で、切妻造桟瓦葺である。武家屋敷の街並みを感じることができる。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530018,長野県飯田市,柳田國男館（旧喜談書屋),ヤナギタクニオカン（キュウキタンショオク）,,,登録有形文化財,,飯田市美術博物館,202053,11002,長野県飯田市追手町二丁目655-7,長野県,飯田市,追手町２丁目,655-7,,35.511691,137.832019,,,,,,,,3950034,1,棟,,,2016-11-29,,09：30,17：00,入館受付は16:30で終了;月曜日（祝日の場合は開館）、祝日の翌日、年末年始、その他に展示替え等で臨時休館する場合があります。HP等で公開されている休館日カレンダーをご確認ください。,,,日本民俗学の創始者である柳田國男の書斎兼住居。昭和2年に建てられ、イングリッシュコテージの木骨様式をよく示している。昭和63年に柳田家ゆかりの飯田市に移築された。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530019,長野県飯田市,下黒田の舞台,シモクロダノブタイ,,,重要有形民俗文化財　,建造物,下黒田諏訪神社,202053,30000,長野県飯田市上郷黒田2346,長野県,飯田市,上郷黒田,2346,,35.531625,137.837907,,,,,,,,3950004,1,棟,,,1974-11-29,,,,,,,間口8間、奥行4間、木造2階建、入母屋造の舞台で、屋根裏の梁組に亀甲梁を採用している。天保11年(1840)に建築され、黒田人形の上演に使用される。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530020,長野県飯田市,遠山の霜月祭,トオヤマノシモツキマツリ,,,重要無形民俗文化財,,,202053,,長野県飯田市上村・南信濃,長野県,飯田市,上村・南信濃,,,,,,,,,,,,,1,式,,,1979-02-03,,,,,,,霜月に遠山谷の12ヶ所13社で開催される湯立神楽で、鎌倉時代の荘園儀礼が起源と考えられる。神名帳を奉読する神事は全国的に稀で、昼夜にわたり湯立と舞を繰り返した後、神々の面が登場する。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530021,長野県飯田市,正月行事,ショウガツギョウジ,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,,,,1954-11,,,,,,,日本の年中行事の中でも、盆行事と並び最も中心的なもので、その年の繁栄を祈る行事であったが、現在は急速に信仰色が失われつつある。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530022,長野県飯田市,中馬制,チュウマセイ,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,,,,1954-11,,,,,,,中馬とは、塩をはじめとして必要な物資を馬の背を用いて運送するもので、特に大規模な輸送の組織として著名なものである。農民が従事し、主に馬で物資を信濃と三河・尾張の間を往復して運搬した。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530023,長野県飯田市,長野県下の代表的民家の間取り・使い方,ナガノケンカノダイヒョウテキミンカノマドリ・ツカイカタ,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,,,,1961-03,,,,,,,本棟造は、切妻造り妻入りで緩やかな勾配の屋根をもち、雀おどしと呼ばれる棟飾りがつくこともある。その間取りはほぼ正方形である。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530024,長野県飯田市,遠山の霜月祭の芸能,トオヤマノシモツキマツリノゲイノウ,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市上村・南信濃,長野県,飯田市,上村・南信濃,,,,,,,,,,,,,1,,,,1973-11,,,,,,,三遠南信地方に伝わる霜月の湯立神楽の一典型であり、芸能誌の展開を考える上で重要な神事的な民俗資料である。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530025,長野県飯田市,盆行事,ボンギョウジ,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,,,,1977-06,,,,,,,仏教の影響を強く受けてはいるものの、民間の行事の実際には祖霊を祀って供養するという、日本固有の性格が伝えられている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530026,長野県飯田市,伊那の人形芝居,イナノニンギョウシバイ,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市,長野県,飯田市,龍江・上郷,,,,,,,,,,,,,1,,,,1975-12-08,,,,,,,飯田市無形文化財の項を参照。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530027,長野県飯田市,信濃の火鑚習俗,シナノノヒキリシュウゾク,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市上村程野,長野県,飯田市,上村程野,,,35.433976,137.988824,,,,,,,,,1,,,,1977-06-01,,,,,,,木の棒を錐のように板の上で揉んで火を鑚りだす古来以来の発火法。程野八幡宮の霜月祭のきしめ造り（12月1日）に行われる。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530028,長野県飯田市,下伊那のかけ踊,シモイナノカケオドリ,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市上村下栗,長野県,飯田市,上村下栗,,,35.37482,137.986178,,,,,,,,,1,,,,1999-12-03,,,,,,,他の場所へ練り込み、太鼓・鉦を主要楽器として踊りかける形式のもの。災厄や祖霊等を送り出すため、盆や虫送り、雨乞い行事等と結びついている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530029,長野県飯田市,伊那谷のコト八日行事,イナダニノコトヨウカギョウジ,,,記録作成等の措置を講ずべき無形の民俗文化財,,,202053,,長野県飯田市千代・上久堅他,長野県,飯田市,千代・上久堅他,,,,,,,,,,,,,1,,,,2011-01-21,,,,,,,2月8日や9日を中心に、無病息災や集落の安全を祈願する。子どもが禍をミコシや笹と共に集落の外に捨てる。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530030,長野県飯田市,恒川官衙遺跡,ゴンガカンガイセキ,,,史跡,,,202053,,長野県飯田市座光寺,長野県,飯田市,座光寺,,,35.531716,137.862932,,,,,,,,,1,,,飯田市　他,2014-03-18,,,,,,,7世紀後半から10世紀前半にかけて営まれた古代の役所「伊那郡衙」と考えられる遺跡。正倉院を構成する建物址、館・厨とみられる建物址、祭祀が行われていた「恒川清水」が残り、和同開珎銀銭、硯、瓦、炭化米等が出土している。2016年10月03日に追加指定あり。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530031,長野県飯田市,飯田古墳群,イイダコフングン,,,史跡,,,202053,,長野県飯田市座光寺、上郷、松尾、竜丘地区,長野県,飯田市,座光寺、上郷、松尾、竜丘地区,,,,,,,,,,,,,1,,,飯田市　他,2016-10-03,,,,,,,市内に所在する11基の前方後円墳と2基の帆立貝形古墳からなる古墳群で、5世紀後半から6世紀末にかけて連続して造られた。馬の飼育管理を通じ、ヤマト王権との強い結びつきの中で造られた古墳群と考えられる。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530032,長野県飯田市,天龍峡,テンリュウキョウ,,,名勝,,,202053,,長野県飯田市川路・龍江,長野県,飯田市,川路・龍江,,,,,,,,,,,,,1,,,飯田市　他,1934-01-22,,,,,,,弘化4年(1847)、漢学者阪谷朗蘆によって命名された奇岩断崖からなる狭隘な峡谷で、両岸のアカマツ林、サクラ、サツキ、カエデ等の草木と共に四季折々の峡谷美をなす。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530033,長野県飯田市,ライチョウ,ライチョウ,,,特別天然記念物,動物,赤石山脈,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,種,,,1955-02-15,,,,,,,キジ科の鳥で、赤石山脈のハイマツ帯に生息する。赤石山脈は世界的に分布の南限にあたり、近年絶滅が危惧される。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530034,長野県飯田市,カモシカ,カモシカ,,,特別天然記念物,動物,木曽山脈赤石山脈一帯,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,種,,,1955-02-15,,,,,,,日本に住む唯一の野生ウシ科動物で、日本固有種である。東日本の山地帯から高山帯に生息する。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530035,長野県飯田市,柴犬,シバイヌ,,,天然記念物,動物,,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,種,,,1936-12-16,,,,,,,天然記念物に指定されている日本古来の犬種6種のうち唯一の小型犬で、日本犬の代表的犬種である。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530036,長野県飯田市,イヌワシ,イヌワシ,,,天然記念物,動物,,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,種,,,1965-05-12,,,,,,,日本最大級の猛禽類で近畿地方以北の山岳地帯で繁殖している。当市では赤石山脈においての確認例がある。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530037,長野県飯田市,ヤマネ,ヤマネ,,,天然記念物,動物,,202053,,長野県飯田市,長野県,飯田市,,,,,,,,,,,,,,1,種,,,1975-06-26,,,,,,,げっ歯目ヤマネ科に属する1属1種の日本特産種で世界的にも珍しい。市内では、伊那山脈及び遠山地区山間部での確認例がある。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530038,長野県飯田市,高山彦九郎日記,タカヤマヒコクロウニッキ,,,重要美術品,書籍,,202053,,長野県飯田市,長野県,飯田市,,,,35.512008,137.830531,,,,,,,,,3,巻,,,1935-05-10,,,,,,,幕末の志士高山彦九郎が安永７年(1778)3月18日より6月24日までの100日間を綴った日記である。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530039,長野県飯田市,後奈良天皇宸翰女房奉書,ゴナラテンノウシンカンニョウボウホウショ,,,重要美術品,書籍,文永寺,202053,52000,長野県飯田市下久堅南原1142,長野県,飯田市,下久堅南原,1142,,35.470691,137.845248,,,,,,,,3992607,1,通,,,1940-02-23,,,,,,,女房奉書とは天皇の考えを女官が独自の字配り「女消息体」で書いたもので、太元修法を行なうよう書かれている。紙本墨書。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530040,長野県飯田市,後奈良天皇宸翰御懐紙,ゴナラテンノウシンカンオンカイシ,,,重要美術品,書籍,文永寺,202053,52000,長野県飯田市下久堅南原1142,長野県,飯田市,下久堅南原,1142,,35.470691,137.845248,,,,,,,,3992607,1,幅,,,1940-02-23,,,,,,,宸翰とは天皇自筆のこと。天皇の和歌で文永寺宗然が宮中で太元帥修法を修めた際に与えられたと伝わる。紙本墨書（詠春色浮水和歌）。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530041,長野県飯田市,正親町天皇宸翰女房奉書,オオギマチテンノウシンカンニョウボウホウショ,,,重要美術品,書籍,文永寺,202053,52000,長野県飯田市下久堅南原1142,長野県,飯田市,下久堅南原,1142,,35.470691,137.845248,,,,,,,,3992607,1,通,,,1940-02-23,,,,,,,文永寺の本山京都理性院の国家鎮護と国土豊穣の祈祷を褒めたもの。紙本墨書（太元八譬像）。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530042,長野県飯田市,木造薬師如来座像　　　,モクゾウヤクシニョライザゾウ　　　,,,重要美術品,彫刻,光明寺,202053,39000,長野県飯田市久米311,長野県,飯田市,久米,311,,35.47715,137.779854,,,,,,,,3950241,1,体,,,1947-10-01,,,,,,,像の高さ85cmで、保延6年(1140) 3月3日の墨書がある。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530043,長野県飯田市,鐘楼,ショウロウ,,,重要美術品,建造物,開善寺,202053,28000,長野県飯田市上川路1000,長野県,飯田市,上川路,1000,,35.462313,137.814791,,,,,,,,3992564,1,棟,,開善寺,1948-10-01,,,,,,,瓦葺、入母屋造りで、室町時代の作といわれている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530044,長野県飯田市,梵鐘,ボンショウ,,,県宝,,文永寺,202053,52000,長野県飯田市下久堅南原1142,長野県,飯田市,下久堅南原,1142,,35.470691,137.845248,,,,,,,,3992607,1,口,,,1970-04-13,,,,,,,弘安2年（1279）の銘を持つ類似型の鐘が小海町にあり、それに近い鎌倉時代後期の頃、文永寺創建当時の製作と推定される。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530045,長野県飯田市,旧座光寺麻績学校校舎,キュウザコウジオミガッコウコウシャ,,,県宝,,,202053,43000,長野県飯田市座光寺2535,長野県,飯田市,座光寺,2535,,35.533167,137.853767,,,,,,,,3950001,1,棟,2000020202053 ,飯田市,1985-11-21,,,,,,,木造2階建、一部3階建、入母屋造、桟瓦葺。明治6年(1873)の建築で、1階は歌舞伎舞台となっている。学校建築としては県下最古で、間口10間の舞台は県下最大である。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530046,長野県飯田市,眉庇付冑,マビサシツキカブト,,,県宝,,飯田市美術博物館,202053,11002,長野県飯田市追手町二丁目655-7,長野県,飯田市,追手町２丁目,655-7,,35.512008,137.830531,,,,,,,,3950034,1,領,,,1985-11-21,,09：30,17：00,入館受付は16:30で終了;月曜日（祝日の場合は開館）、祝日の翌日、年末年始、その他に展示替え等で臨時休館する場合があります。HP等で公開されている休館日カレンダーをご確認ください。,,,松尾の妙前大塚古墳より出土した古墳時代の冑で、地金銅装で総高32cm、鉢は下底で直径20.2cm、短径18.8cm、高さ13cmである。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530047,長野県飯田市,木造十一面観音立像,モクゾウジュウイチメンカンノンリュウゾウ,,,県宝,,,202053,64000,長野県飯田市立石140,長野県,飯田市,立石,140,,35.432114,137.784369,,,,,,,,3992433,1,体,,,1988-08-18,,,,,,,高さ1.05mの一木造りの像で、平安時代の古い様式を残している。立石寺の秘仏本尊となっている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530048,長野県飯田市,下伊那出土の富本銭、和同開珎銀銭,シモイナシュツドノフホンセン、ワドウカイチンギンセン,,,県宝,,飯田市美術博物館,202053,11002,長野県飯田市追手町二丁目655-7,長野県,飯田市,追手町２丁目,655-7,,35.512008,137.830531,,,,,,,,3950034,2,枚,,,2000-03-27,,09：30,17：00,入館受付は16:30で終了;月曜日（祝日の場合は開館）、祝日の翌日、年末年始、その他に展示替え等で臨時休館する場合があります。HP等で公開されている休館日カレンダーをご確認ください。,,,天武12年（683）鋳造の我が国最古の貨幣である富本銭と和銅元年（708）鋳造された和同銀銭で、当地方が大和朝廷との深い関係にあったことを示す貴重な資料である。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530049,長野県飯田市,平沢文書,ヒラサワモンジョ,,,県宝,,飯田市美術博物館,202053,11002,長野県飯田市追手町二丁目655-7,長野県,飯田市,追手町２丁目,655-7,,35.512008,137.830531,,,,,,,,3950034,3800,点,,,2004-03-29,,,,,,,戦国時代から江戸時代にかけて下久堅北原の庄屋平沢家に代々伝わった古文書で、村人の生活の様子や行政担当者の資料が一括で残っている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530050,長野県飯田市,絹本著色菊慈童,ケンポンチャクショクキクジドウ,,,県宝,,飯田市美術博物館,202053,11002,長野県飯田市追手町二丁目655-7,長野県,飯田市,追手町２丁目,655-7,,35.512008,137.830531,,,,,,,,3950034,1,点,2000020202053 ,飯田市,2007-05-01,,,,展示予定は美術博物館にお問い合わせください。,,,明治33年（1900）菱田春草26才の作で、日本画の革新を目指した朦朧体画風の代表作である。日本美術院の絵画共進会に出品した大作である。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530051,長野県飯田市,木造大鑑禅師坐像,モクゾウダイカンゼンジザゾウ,,,県宝,,,202053,28000,長野県飯田市上川路1000,長野県,飯田市,上川路,1000,,35.462313,137.814791,,,,,,,,3992564,1,体,,開善寺,2010-10-12,,,,,,,禅僧清拙正澄の坐像で、高さ72㎝のヒノキの寄せ木造りで、表面の文様などから鎌倉・南北朝時代の作と推定される。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530052,長野県飯田市,阿弥陀如来坐像,アミダニョライザゾウ,,,県宝,,,202053,126001,長野県飯田市箕瀬町一丁目2464-1,長野県,飯田市,箕瀬町一丁目,2464-1,,35.514840,137.819187,,,,,,,,3950054,1,体,,,1949-02-18,,,,,,,像高51.8cmの木造漆箔の像で、鎌倉時代前半期の作とされる。運慶・快慶の流派である慶派仏師の作風の影響を受けている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530053,長野県飯田市,御猿堂古墳,オサルドウコフン,,,県指定史跡,,,202053,,長野県飯田市上川路884-2他,長野県,飯田市,上川路,884-2他,,35.461612,137.812408,,,,,,,,,1,基,,個人,1969-07-03,,,,,,,墳丘の全長65.4ｍ、横穴式石室を有する前方後円墳である。墳丘の大半が国史跡に指定されている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530054,長野県飯田市,鈴岡城跡,スズオカジョウアト,,,史跡,,,202053,,長野県飯田市駄科1729他,長野県,飯田市,駄科,1729他,,35.483695,137.826226,,,,,,,,,1,区域,,駄科区他,1971-05-27,,,,,,,段丘突端の平山城。室町時代、小笠原氏は家督を巡り一族内で争った。鈴岡城はその一派が拠った城で、松尾城主などと対立した。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
